"Subject","Feature","Activity","Mean"
1,"tBodyAcc-mean()-X","LAYING",0.22159824394
1,"tBodyAcc-mean()-Y","LAYING",-0.0405139534294
1,"tBodyAcc-mean()-Z","LAYING",-0.11320355358
1,"tBodyAcc-std()-X","LAYING",-0.9280564692
1,"tBodyAcc-std()-Y","LAYING",-0.83682740562
1,"tBodyAcc-std()-Z","LAYING",-0.826061401628
1,"tGravityAcc-mean()-X","LAYING",-0.24888179828
1,"tGravityAcc-mean()-Y","LAYING",0.70554977346
1,"tGravityAcc-mean()-Z","LAYING",0.4458177198
1,"tGravityAcc-std()-X","LAYING",-0.8968300184
1,"tGravityAcc-std()-Y","LAYING",-0.90772000676
1,"tGravityAcc-std()-Z","LAYING",-0.85236629022
1,"tBodyAccJerk-mean()-X","LAYING",0.0810865342
1,"tBodyAccJerk-mean()-Y","LAYING",0.0038382040088
1,"tBodyAccJerk-mean()-Z","LAYING",0.010834236361
1,"tBodyAccJerk-std()-X","LAYING",-0.958482112
1,"tBodyAccJerk-std()-Y","LAYING",-0.9241492736
1,"tBodyAccJerk-std()-Z","LAYING",-0.9548551108
1,"tBodyGyro-mean()-X","LAYING",-0.016553093978
1,"tBodyGyro-mean()-Y","LAYING",-0.064486124088
1,"tBodyGyro-mean()-Z","LAYING",0.14868943626
1,"tBodyGyro-std()-X","LAYING",-0.87354386782
1,"tBodyGyro-std()-Y","LAYING",-0.9510904402
1,"tBodyGyro-std()-Z","LAYING",-0.9082846626
1,"tBodyGyroJerk-mean()-X","LAYING",-0.107270949192
1,"tBodyGyroJerk-mean()-Y","LAYING",-0.04151728689
1,"tBodyGyroJerk-mean()-Z","LAYING",-0.0740501211
1,"tBodyGyroJerk-std()-X","LAYING",-0.9186085208
1,"tBodyGyroJerk-std()-Y","LAYING",-0.9679072436
1,"tBodyGyroJerk-std()-Z","LAYING",-0.9577901596
1,"tBodyAccMag-mean()","LAYING",-0.8419291525
1,"tBodyAccMag-std()","LAYING",-0.79514486386
1,"tGravityAccMag-mean()","LAYING",-0.8419291525
1,"tGravityAccMag-std()","LAYING",-0.79514486386
1,"tBodyAccJerkMag-mean()","LAYING",-0.9543962646
1,"tBodyAccJerkMag-std()","LAYING",-0.9282456284
1,"tBodyGyroMag-mean()","LAYING",-0.874759548
1,"tBodyGyroMag-std()","LAYING",-0.81901016976
1,"tBodyGyroJerkMag-mean()","LAYING",-0.96346103
1,"tBodyGyroJerkMag-std()","LAYING",-0.9358409828
1,"fBodyAcc-mean()-X","LAYING",-0.9390990524
1,"fBodyAcc-mean()-Y","LAYING",-0.86706520518
1,"fBodyAcc-mean()-Z","LAYING",-0.8826668762
1,"fBodyAcc-std()-X","LAYING",-0.9244374346
1,"fBodyAcc-std()-Y","LAYING",-0.8336255561
1,"fBodyAcc-std()-Z","LAYING",-0.81289155944
1,"fBodyAccJerk-mean()-X","LAYING",-0.9570738838
1,"fBodyAccJerk-mean()-Y","LAYING",-0.9224626098
1,"fBodyAccJerk-mean()-Z","LAYING",-0.9480609042
1,"fBodyAccJerk-std()-X","LAYING",-0.9641607086
1,"fBodyAccJerk-std()-Y","LAYING",-0.9322178704
1,"fBodyAccJerk-std()-Z","LAYING",-0.9605869872
1,"fBodyGyro-mean()-X","LAYING",-0.850249174586
1,"fBodyGyro-mean()-Y","LAYING",-0.9521914948
1,"fBodyGyro-mean()-Z","LAYING",-0.909302721
1,"fBodyGyro-std()-X","LAYING",-0.8822964508
1,"fBodyGyro-std()-Y","LAYING",-0.9512320494
1,"fBodyGyro-std()-Z","LAYING",-0.9165825082
1,"fBodyAccMag-mean()","LAYING",-0.8617676481
1,"fBodyAccMag-std()","LAYING",-0.7983009404
1,"fBodyBodyAccJerkMag-mean()","LAYING",-0.9333003608
1,"fBodyBodyAccJerkMag-std()","LAYING",-0.9218039756
1,"fBodyBodyGyroMag-mean()","LAYING",-0.8621901854
1,"fBodyBodyGyroMag-std()","LAYING",-0.82431943968
1,"fBodyBodyGyroJerkMag-mean()","LAYING",-0.9423669466
1,"fBodyBodyGyroJerkMag-std()","LAYING",-0.9326606676
1,"tBodyAcc-mean()-X","SITTING",0.261237565425532
1,"tBodyAcc-mean()-Y","SITTING",-0.00130828765170213
1,"tBodyAcc-mean()-Z","SITTING",-0.104544182255319
1,"tBodyAcc-std()-X","SITTING",-0.977229008297872
1,"tBodyAcc-std()-Y","SITTING",-0.922618641914894
1,"tBodyAcc-std()-Z","SITTING",-0.93958629106383
1,"tGravityAcc-mean()-X","SITTING",0.831509933404255
1,"tGravityAcc-mean()-Y","SITTING",0.204411592680851
1,"tGravityAcc-mean()-Z","SITTING",0.332043702765957
